seasonNum,episodeNum,episodeTitle,named_death
1,1,Winter Is Coming,4
1,2,The Kingsroad,3
1,3,Lord Snow,0
1,4,"Cripples, Bastards, and Broken Things",1
1,5,The Wolf and the Lion,5
1,6,A Golden Crown,4
1,7,You Win or You Die,2
1,8,The Pointy End,7
1,9,Baelor,2
1,10,Fire and Blood,3
2,1,The North Remembers,2
2,2,The Night Lands,1
2,3,What Is Dead May Never Die,2
2,4,Garden of Bones,4
2,5,The Ghost of Harrenhal,4
2,6,The Old Gods and the New,5
2,7,A Man Without Honor,8
2,8,The Prince of Winterfell,3
2,9,Blackwater,2
2,10,Valar Morghulis,6
3,1,Valar Dohaeris,0
3,2,"Dark Wings, Dark Words",1
3,3,Walk of Punishment,1
3,4,And Now His Watch Is Ended,5
3,5,Kissed by Fire,4
3,6,The Climb,1
3,7,The Bear and the Maiden Fair,0
3,8,Second Sons,3
3,9,The Rains of Castamere,8
3,10,Mhysa,1
4,1,Two Swords,2
4,2,The Lion and the Rose,3
4,3,Breaker of Chains,4
4,4,Oathkeeper,1
4,5,First of His Name,3
4,6,The Laws of Gods and Men,0
4,7,Mockingbird,4
4,8,The Mountain and the Viper,6
4,9,The Watchers on the Wall,10
4,10,The Children,4
5,1,The Wars to Come,2
5,2,The House of Black and White,3
5,3,High Sparrow,5
5,4,Sons of the Harpy,3
5,5,Kill the Boy,1
5,6,"Unbowed, Unbent, Unbroken",1
5,7,The Gift,2
5,8,Hardhome,4
5,9,The Dance of Dragons,2
5,10,Mother's Mercy,7
6,1,The Red Woman,5
6,2,Home,5
6,3,Oathbreaker,8
6,4,Book of the Stranger,8
6,5,The Door,5
6,6,Blood of My Blood,0
6,7,The Broken Man,1
6,8,No One,11
6,9,Battle of the Bastards,6
6,10,The Winds of Winter,11
7,1,Dragonstone,2
7,2,Stormborn,2
7,3,The Queen's Justice,2
7,4,The Spoils of War,0
7,5,Eastwatch,2
7,6,Beyond the Wall,3
7,7,The Dragon and the Wolf,1
8,1,Winterfell,1
8,2,A Knight of the Seven Kingdoms,0
8,3,The Long Night,7
8,4,The Last of the Starks,2
8,5,The Bells,7
8,6,The Iron Throne,1
