Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
42527570,05/01/2019 06:02:51 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11221,1192 BUSHWICK AVENUE,BUSHWICK AVENUE,,,,,LATLONG,BROOKLYN,,,In Progress,,05/01/2019 10:05:39 PM,04 BROOKLYN,BROOKLYN,1007402,190038,Unspecified,BROOKLYN,,,,,,,,40.68825690182684,-73.91651811518827,"(40.68825690182684, -73.91651811518827)"
42530644,05/01/2019 06:12:16 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11238,362 LINCOLN PLACE,LINCOLN PLACE,UNDERHILL AVENUE,WASHINGTON AVENUE,UNDERHILL AVENUE,WASHINGTON AVENUE,ADDRESS,BROOKLYN,,,In Progress,,05/01/2019 10:16:55 PM,08 BROOKLYN,BROOKLYN,994198,184489,Unspecified,BROOKLYN,,,,,,,,40.67305084798147,-73.96413751108962,"(40.67305084798147, -73.96413751108962)"
42575875,05/03/2019 03:07:11 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11236,FLATLANDS AVENUE,FLATLANDS AVENUE,EAST 80 STREET,EAST 81 STREET,EAST 80 STREET,EAST 81 STREET,BLOCKFACE,BROOKLYN,,,In Progress,,05/03/2019 07:24:42 PM,18 BROOKLYN,BROOKLYN,1008426,170911,Unspecified,BROOKLYN,,,,,,,,40.63575480183046,-73.91289434195333,"(40.63575480183046, -73.91289434195333)"
42578098,05/03/2019 08:04:06 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11221,112 MALCOLM X BOULEVARD,MALCOLM X BOULEVARD,LEXINGTON AVENUE,QUINCY STREET,LEXINGTON AVENUE,QUINCY STREET,ADDRESS,BROOKLYN,,,In Progress,,05/04/2019 12:09:31 AM,03 BROOKLYN,BROOKLYN,1003542,190599,Unspecified,BROOKLYN,,,,,,,,40.6898059727417,-73.93043495752632,"(40.6898059727417, -73.93043495752632)"
42579218,05/03/2019 03:36:46 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Mixed Use Building,11218,591 CONEY ISLAND AVENUE,CONEY ISLAND AVENUE,LEWIS PLACE,MATTHEWS COURT,LEWIS PLACE,MATTHEWS COURT,ADDRESS,BROOKLYN,,,In Progress,,05/03/2019 07:47:48 PM,14 BROOKLYN,BROOKLYN,992630,173466,Unspecified,BROOKLYN,,,,,,,,40.64279675883123,-73.96980384081856,"(40.64279675883123, -73.96980384081856)"
42560924,05/02/2019 07:22:35 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10027,162 WEST 132 STREET,WEST 132 STREET,,,,,LATLONG,NEW YORK,,,In Progress,,05/02/2019 11:26:59 AM,10 MANHATTAN,MANHATTAN,999624,235429,Unspecified,MANHATTAN,,,,,,,,40.81286061234784,-73.94446038027107,"(40.81286061234784, -73.94446038027107)"
42560928,05/02/2019 12:24:16 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Vacant Building,10029,LEXINGTON AVENUE,LEXINGTON AVENUE,EAST 101 STREET,EAST 102 STREET,EAST 101 STREET,EAST 102 STREET,BLOCKFACE,NEW YORK,,,In Progress,,05/02/2019 04:33:12 PM,11 MANHATTAN,MANHATTAN,998545,226869,Unspecified,MANHATTAN,,,,,,,,40.789367569931706,-73.9483765642644,"(40.789367569931706, -73.9483765642644)"
42585432,05/04/2019 09:37:06 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11201,83 BUTLER STREET,BUTLER STREET,,,,,LATLONG,BROOKLYN,,,In Progress,,05/04/2019 01:40:18 PM,06 BROOKLYN,BROOKLYN,986570,188535,Unspecified,BROOKLYN,,,,,,,,40.684161487555656,-73.99163501862031,"(40.684161487555656, -73.99163501862031)"
42585433,05/04/2019 11:39:11 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10026,361 WEST 116 STREET,WEST 116 STREET,MANHATTAN AVENUE,MORNINGSIDE AVENUE,MANHATTAN AVENUE,MORNINGSIDE AVENUE,ADDRESS,NEW YORK,,,In Progress,,05/04/2019 03:44:11 PM,10 MANHATTAN,MANHATTAN,996094,232638,Unspecified,MANHATTAN,,,,,,,,40.80520552926008,-73.95721766718064,"(40.80520552926008, -73.95721766718064)"
42585434,05/04/2019 11:02:16 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11205,417 FLUSHING AVENUE,FLUSHING AVENUE,FRANKLIN AVENUE,SKILLMAN STREET,FRANKLIN AVENUE,SKILLMAN STREET,ADDRESS,BROOKLYN,,,In Progress,,05/05/2019 03:09:47 AM,01 BROOKLYN,BROOKLYN,995797,193858,Unspecified,BROOKLYN,,,,,,,,40.698764665082805,-73.95835706868755,"(40.698764665082805, -73.95835706868755)"
